var_name,var_description
LBXMPSI,Mean platelet volume (fL)
LBXNEPCT,Segmented neutrophils (%)
LBXP1,Total prostate specific antigen (ng/mL)
LBXP2,Free prostate specific antigen (ng/mL)
LBXPLTSI,Platelet (10³ cells/uL)
LBXPS4,Complexed prostate specific antigen (ng/mL)
LBXRBCSI,Red blood cell (10⁶ cells/uL)
LBXRBFSI,RBC folate (nmol/L)
LBXRDW,Red cell distribution width (%)
LBXSAL,Albumin (g/dL)
LBXSAPSI,Alkaline phosphotase (U/L)
LBXSASSI,Aspartate aminotransferase (U/L)
LBXSATSI,Alanine aminotransferase ALT (U/L)
LBXSBU,Blood urea nitrogen (mg/dL)
LBXSC3SI,Bicarbonate (mmol/L)
LBXSCA,Total calcium (mg/dL)
LBXSCH,Cholesterol (mg/dL)
LBXSCLSI,Chloride (mmol/L)
LBXSCR,Creatinine (mg/dL)
LBXSGB,Globulin (g/dL)
LBXSGL,"Glucose, serum (mg/dL)"
LBXSGTSI,Gamma glutamyl transferase (U/L)
LBXSIR,"Iron, refigerated (ug/dL)"
LBXSKSI,Potassium (mmol/L)
LBXSLDSI,Lactate dehydrogenase (U/L)
LBXSNASI,Sodium (mmol/L)
LBXSOSSI,Osmolality (mmol/Kg)
LBXSPH,Phosphorus (mg/dL)
LBXSTB,Total bilirubin (mg/dL)
LBXSTP,Total protein (g/dL)
LBXSTR,Triglycerides (mg/dL)
LBXSUA,Uric acid (mg/dL)
LBXT3F,"Triiodothyronine (T3), free (pg/mL)"
LBXT4F,"Thyroxine, free (ng/dL)"
LBXTC,Total Cholesterol (mg/dL)
LBXTFR,Transferrin receptor (mg/L)
LBXTGN,Thyroglobulin (ng/mL)
LBXTPO,Thyroid peroxidase Ab (IU/mL)
LBXTR,Triglyceride (mg/dL)
LBXTSH1,Thyroid stimulating hormone (µIU/mL)
LBXTT3,"Total triiodothyronine (T3, ng/dL)"
LBXTT4,"Thyroxine, total (T4) (ug/dL)"
LBXWBCSI,White blood cell count:  SI
LBXMMASI,Methylmalonic Acid (nmol/L)
LBXSCK,Creatine Phosphokinase(CPK) (IU/L)
LBXSF1SI,5-Methyl-tetrahydrofolate (nmol/L)
LBXSF2SI,Folic acid (nmol/L)
LBXSF3SI,5-Formyl-tetrahydrofolate (nmol/L)
LBXSF4SI,Tetrahydrofolate (nmol/L)
LBXSF5SI,"5,10-Methenyl-tetrahydrofolate (nmol/L)"
LBXSF6SI,Mefox oxidation product (nmol/L)
LBXTBA,TB Antigen result
LBXTBM,TB Mitogen control result
LBXTST,Testosterone total (ng/dL)
URXUCR,"Creatinine, urine (mg/dL)"
URXUIO,"Iodine, urine (ug/L)"
URXUMA,"Albumin, urine (ug/mL)"
ENXMEAN,Mean reproducible FENO (ppb)
MDIASTOLIC,Diastolic Mean
MSYSTOLIC,Systolic Mean
ASTHMA,ASTHMA (MCQ)
BRONCHITIS,BRONCHITIS (MCQ)
EMPHYSEMA,EMPHYSEMA (MCQ)
ANGINA,ANGINA (MCQ)
HEART_FAILURE,HEART_FAILURE (MCQ)
HEART_ATTACK,HEART_ATTACK (MCQ)
STROKE,STROKE (MCQ)
CHD,CHD (MCQ)
CVD,CVD (MCQ)
CANCER_BREAST,CANCER_BREAST (MCQ)
CANCER_COLON,CANCER_COLON (MCQ)
CANCER_LUNG,CANCER_LUNG (MCQ)
CANCER_ESOPHAGEAL,CANCER_ESOPHAGEAL (MCQ)
CANCER_PROSTATE,CANCER_PROSTATE (MCQ)
CANCER_MOUTH,CANCER_MOUTH (MCQ)
DIABETES,DIABETES (MCQ)
RIAGENDR_01,Gender (Female)
