"dataset","transformation","host_variable","Variable.Description","otu","estimate","direction","rank_within_direction","Phylum","raw_genus_label","annotation_label_clean"
"pheWAS","none","LBDP3","Prostate specific antigen ratio (%)","RSV_genus1060",-161.929033757162,"negative",1,"Proteobacteria","Eikenella","Eikenella"
"pheWAS","none","LBDFOT","Serum total folate (ng/mL)","RSV_genus233",-2196.26478267444,"negative",1,"Bacteroidetes","Phocaeicola","Phocaeicola"
"pheWAS","none","LBDFOT","Serum total folate (ng/mL)","RSV_genus646",-222.057560730395,"negative",2,"Firmicutes","Filifactor","Filifactor"
"pheWAS","none","LBDFOT","Serum total folate (ng/mL)","RSV_genus535",-125.557480877237,"negative",3,"Firmicutes","Christensenellaceae_R-7_group","Christensenellaceae"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus630",2810.71424967815,"positive",1,"Firmicutes","Shuttleworthia","Shuttleworthia"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus644",1059.98100388365,"positive",2,"Firmicutes","Peptococcus","Peptococcus"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus735",952.377484224094,"positive",3,"Firmicutes","Selenomonas","Selenomonas"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus582",699.582627065534,"positive",4,"Firmicutes","Eubacterium","Eubacterium"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus646",663.158737163779,"positive",5,"Firmicutes","Filifactor","Filifactor"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus683",293.356119403122,"positive",6,"Firmicutes","Ruminococcaceae_UCG-014","Ruminococcaceae"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus494",176.835188456961,"positive",7,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus568",174.404013846128,"positive",8,"Firmicutes","Parvimonas","Parvimonas"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus998",64.4658361917135,"positive",9,"Proteobacteria","Ralstonia","Ralstonia"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus253",45.9871549026552,"positive",10,"Bacteroidetes","Porphyromonas","Porphyromonas"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus685",-384.237026433123,"negative",1,"Firmicutes","Ruminococcus_2","Ruminococcus"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus673",-46.038298255574,"negative",2,"Firmicutes","Ruminococcaceae_UCG-002","Ruminococcaceae"
"pheWAS","none","LBXAPB","Apolipoprotein (B) (mg/dL)","RSV_genus1063",-33.3647465938255,"negative",3,"Proteobacteria","Neisseria","Neisseria"
"pheWAS","none","LBXATG","Thyroglobulin antibodies (IU/mL)","RSV_genus1161",-1664.55040705142,"negative",1,"Proteobacteria","Cardiobacterium","Cardiobacterium"
"pheWAS","none","LBXBAPCT","Basophils percent (%)","RSV_genus519",1.14437937636544,"positive",1,"Firmicutes","Lactobacillus","Lactobacillus"
"pheWAS","none","LBXBAPCT","Basophils percent (%)","RSV_genus685",-3.49692960837939,"negative",1,"Firmicutes","Ruminococcus_2","Ruminococcus"
"pheWAS","none","LBXBAPCT","Basophils percent (%)","RSV_genus494",-1.5670123537379,"negative",2,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXBAPCT","Basophils percent (%)","RSV_genus1161",-0.714378312447892,"negative",3,"Proteobacteria","Cardiobacterium","Cardiobacterium"
"pheWAS","none","LBXBAPCT","Basophils percent (%)","RSV_genus740",-0.602218684589899,"negative",4,"Firmicutes","Veillonella","Veillonella"
"pheWAS","none","LBXCRP","C-reactive protein(mg/dL)","RSV_genus1238",-0.88306981118319,"negative",1,"Proteobacteria","Acinetobacter","Acinetobacter"
"pheWAS","none","LBXEOPCT","Eosinophils percent (%)","RSV_genus262",3.09468203698019,"positive",1,"Bacteroidetes","Prevotella_6","Prevotella"
"pheWAS","none","LBXEOPCT","Eosinophils percent (%)","RSV_genus709",-233.64340445439,"negative",1,"Firmicutes","Erysipelotrichaceae_UCG-006","Erysipelotrichaceae"
"pheWAS","none","LBXEOPCT","Eosinophils percent (%)","RSV_genus560",-144.436276177851,"negative",2,"Firmicutes","Pseudoramibacter","Pseudoramibacter"
"pheWAS","none","LBXEOPCT","Eosinophils percent (%)","RSV_genus535",-23.2142082375338,"negative",3,"Firmicutes","Christensenellaceae_R-7_group","Christensenellaceae"
"pheWAS","none","LBXEOPCT","Eosinophils percent (%)","RSV_genus1238",-2.1027126813836,"negative",4,"Proteobacteria","Acinetobacter","Acinetobacter"
"pheWAS","none","LBXEOPCT","Eosinophils percent (%)","RSV_genus35",-2.03038708344374,"negative",5,"Actinobacteria","Actinomyces","Actinomyces"
"pheWAS","none","LBXEOPCT","Eosinophils percent (%)","RSV_genus231",-1.76684774088788,"negative",6,"Bacteroidetes","Bacteroides","Bacteroides"
"pheWAS","none","LBXFER","Ferritin (ng/mL)","RSV_genus673",-223.61782235716,"negative",1,"Firmicutes","Ruminococcaceae_UCG-002","Ruminococcaceae"
"pheWAS","none","LBXFOLSI","Serum folate (nmol/L)","RSV_genus535",1346.36415718917,"positive",1,"Firmicutes","Christensenellaceae_R-7_group","Christensenellaceae"
"pheWAS","none","LBXGH","Glycohemoglobin (%)","RSV_genus494",-3.58554921914376,"negative",1,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXGH","Glycohemoglobin (%)","RSV_genus322",-2.21103630341433,"negative",2,"Bacteroidetes","Cloacibacterium","Cloacibacterium"
"pheWAS","none","LBXGH","Glycohemoglobin (%)","RSV_genus1282",-1.55960669018708,"negative",3,"Proteobacteria","Stenotrophomonas","Stenotrophomonas"
"pheWAS","none","LBXGH","Glycohemoglobin (%)","RSV_genus998",-0.706369196129601,"negative",4,"Proteobacteria","Ralstonia","Ralstonia"
"pheWAS","none","LBXGH","Glycohemoglobin (%)","RSV_genus1161",-0.59301260998759,"negative",5,"Proteobacteria","Cardiobacterium","Cardiobacterium"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus583",799.054421190431,"positive",1,"Firmicutes","Eubacterium","Eubacterium"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus716",599.309117354088,"positive",2,"Firmicutes","Solobacterium","Solobacterium"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus650",493.292681900076,"positive",3,"Firmicutes","Peptostreptococcus","Peptostreptococcus"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus1241",373.336373607428,"positive",4,"Proteobacteria","Moraxella","Moraxella"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus998",216.878696445062,"positive",5,"Proteobacteria","Ralstonia","Ralstonia"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus319",125.063129047415,"positive",6,"Bacteroidetes","Capnocytophaga","Capnocytophaga"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus742",85.5357065081757,"positive",7,"Fusobacteria","Fusobacterium","Fusobacterium"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus494",-375.183587560764,"negative",1,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","RSV_genus1181",-177.267075493383,"negative",2,"Proteobacteria","unclassified",NA
"pheWAS","none","LBXGLU","Fasting Glucose (mg/dL)","RSV_genus1229",227.988839631516,"positive",1,"Proteobacteria","Aggregatibacter","Aggregatibacter"
"pheWAS","none","LBXGLU","Fasting Glucose (mg/dL)","RSV_genus568",204.315327895069,"positive",2,"Firmicutes","Parvimonas","Parvimonas"
"pheWAS","none","LBXGLU","Fasting Glucose (mg/dL)","RSV_genus569",-1740.48462495125,"negative",1,"Firmicutes","Peptoniphilus","Peptoniphilus"
"pheWAS","none","LBXGLU","Fasting Glucose (mg/dL)","RSV_genus494",-174.732746900283,"negative",2,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXGLU","Fasting Glucose (mg/dL)","RSV_genus1181",-94.735022230487,"negative",3,"Proteobacteria","unclassified",NA
"pheWAS","none","LBXGLU","Fasting Glucose (mg/dL)","RSV_genus673",-47.2760412911241,"negative",4,"Firmicutes","Ruminococcaceae_UCG-002","Ruminococcaceae"
"pheWAS","none","LBXGLU","Fasting Glucose (mg/dL)","RSV_genus1248",-17.3262453536995,"negative",5,"Proteobacteria","Pseudomonas","Pseudomonas"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus1299",1551.24588123458,"positive",1,"Saccharibacteria","Candidatus_Saccharimonas","Candidatus"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus603",135.878368529564,"positive",2,"Firmicutes","Johnsonella","Johnsonella"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus582",58.8529965278938,"positive",3,"Firmicutes","Eubacterium","Eubacterium"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus583",53.6244249268486,"positive",4,"Firmicutes","Eubacterium","Eubacterium"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus650",28.8542424454314,"positive",5,"Firmicutes","Peptostreptococcus","Peptostreptococcus"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus1307",7.82069922805183,"positive",6,"Spirochaetae","Treponema_2","Treponema"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus742",6.20830718198037,"positive",7,"Fusobacteria","Fusobacterium","Fusobacterium"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus51",5.863099386881,"positive",8,"Actinobacteria","Scardovia","Scardovia"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus1282",4.81383313573389,"positive",9,"Proteobacteria","Stenotrophomonas","Stenotrophomonas"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus35",3.23202596359559,"positive",10,"Actinobacteria","Actinomyces","Actinomyces"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus263",2.07965105291166,"positive",11,"Bacteroidetes","Prevotella_7","Prevotella"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus535",-37.6902857963357,"negative",1,"Firmicutes","Christensenellaceae_R-7_group","Christensenellaceae"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus750",-21.2585577594832,"negative",2,"Fusobacteria","Streptobacillus","Streptobacillus"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus494",-16.8299674964956,"negative",3,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus1238",-10.6421826358068,"negative",4,"Proteobacteria","Acinetobacter","Acinetobacter"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus318",-7.46411933325599,"negative",5,"Bacteroidetes","Bergeyella","Bergeyella"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus1063",-3.99423070739422,"negative",6,"Proteobacteria","Neisseria","Neisseria"
"pheWAS","none","LBXHCT","Hematocrit (%)","RSV_genus475",-3.27932057969049,"negative",7,"Firmicutes","Gemella","Gemella"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus1299",474.498237973,"positive",1,"Saccharibacteria","Candidatus_Saccharimonas","Candidatus"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus1007",202.207317170873,"positive",2,"Proteobacteria","Curvibacter","Curvibacter"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus38",135.508918408993,"positive",3,"Actinobacteria","Mobiluncus","Mobiluncus"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus582",18.2284126314378,"positive",4,"Firmicutes","Eubacterium","Eubacterium"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus731",7.54044922753327,"positive",5,"Firmicutes","Megasphaera","Megasphaera"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus1307",2.45638003227094,"positive",6,"Spirochaetae","Treponema_2","Treponema"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus1282",1.94669835524009,"positive",7,"Proteobacteria","Stenotrophomonas","Stenotrophomonas"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus742",1.71430426966863,"positive",8,"Fusobacteria","Fusobacterium","Fusobacterium"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus35",1.28217518192266,"positive",9,"Actinobacteria","Actinomyces","Actinomyces"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus998",0.980084900454263,"positive",10,"Proteobacteria","Ralstonia","Ralstonia"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus263",0.721369103392443,"positive",11,"Bacteroidetes","Prevotella_7","Prevotella"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus535",-14.6236809872516,"negative",1,"Firmicutes","Christensenellaceae_R-7_group","Christensenellaceae"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus750",-9.99294545532536,"negative",2,"Fusobacteria","Streptobacillus","Streptobacillus"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus1238",-4.45447868255758,"negative",3,"Proteobacteria","Acinetobacter","Acinetobacter"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus494",-4.09448475708684,"negative",4,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus1228",-2.70997544703399,"negative",5,"Proteobacteria","Actinobacillus","Actinobacillus"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus318",-2.39113183083839,"negative",6,"Bacteroidetes","Bergeyella","Bergeyella"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus1063",-1.50107311262948,"negative",7,"Proteobacteria","Neisseria","Neisseria"
"pheWAS","none","LBXHGB","Hemoglobin (g/dL)","RSV_genus475",-1.05260941537446,"negative",8,"Firmicutes","Gemella","Gemella"
"pheWAS","none","LBXIN","Insulin (uU/mL)","RSV_genus499",244.472959202726,"positive",1,"Firmicutes","Abiotrophia","Abiotrophia"
"pheWAS","none","LBXIN","Insulin (uU/mL)","RSV_genus261",35.4161597428609,"positive",2,"Bacteroidetes","Prevotella_2","Prevotella"
"pheWAS","none","LBXIN","Insulin (uU/mL)","RSV_genus535",-381.644484533387,"negative",1,"Firmicutes","Christensenellaceae_R-7_group","Christensenellaceae"
"pheWAS","none","LBXIN","Insulin (uU/mL)","RSV_genus579",-133.800100006706,"negative",2,"Firmicutes","Incertae_Sedis",NA
"pheWAS","none","LBXIN","Insulin (uU/mL)","RSV_genus494",-79.1206588336632,"negative",3,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXIN","Insulin (uU/mL)","RSV_genus673",-25.1451241210362,"negative",4,"Firmicutes","Ruminococcaceae_UCG-002","Ruminococcaceae"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus262",17.7683560675403,"positive",1,"Bacteroidetes","Prevotella_6","Prevotella"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus1161",6.45438345661409,"positive",2,"Proteobacteria","Cardiobacterium","Cardiobacterium"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus196",-1116.15325012419,"negative",1,"Actinobacteria","Cryptobacterium","Cryptobacterium"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus649",-546.724490244514,"negative",2,"Firmicutes","Peptoclostridium","Peptoclostridium"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus698",-418.371129190728,"negative",3,"Firmicutes","Bulleidia","Bulleidia"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus1309",-227.778712501123,"negative",4,"Synergistetes","Fretibacterium","Fretibacterium"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus1322",-217.994679802708,"negative",5,"Tenericutes","Mycoplasma","Mycoplasma"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus255",-151.776520903768,"negative",6,"Bacteroidetes","Tannerella","Tannerella"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus646",-111.945574437687,"negative",7,"Firmicutes","Filifactor","Filifactor"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus568",-38.7843102171376,"negative",8,"Firmicutes","Parvimonas","Parvimonas"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus1307",-29.7144324937966,"negative",9,"Spirochaetae","Treponema_2","Treponema"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus742",-16.2359954038573,"negative",10,"Fusobacteria","Fusobacterium","Fusobacterium"
"pheWAS","none","LBXLYPCT","Lymphocyte percent (%)","RSV_genus998",-6.18515168281784,"negative",11,"Proteobacteria","Ralstonia","Ralstonia"
"pheWAS","none","LBXMC","Mean cell hemoglobin concentration (g/dL)","RSV_genus579",12.6310650249479,"positive",1,"Firmicutes","Incertae_Sedis",NA
"pheWAS","none","LBXMC","Mean cell hemoglobin concentration (g/dL)","RSV_genus1229",-2.52449607987586,"negative",1,"Proteobacteria","Aggregatibacter","Aggregatibacter"
"pheWAS","none","LBXMC","Mean cell hemoglobin concentration (g/dL)","RSV_genus253",-1.89741557964048,"negative",2,"Bacteroidetes","Porphyromonas","Porphyromonas"
"pheWAS","none","LBXMC","Mean cell hemoglobin concentration (g/dL)","RSV_genus51",-1.86686250909258,"negative",3,"Actinobacteria","Scardovia","Scardovia"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus600",2326.24100134668,"positive",1,"Firmicutes","Howardella","Howardella"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus1299",685.186105197235,"positive",2,"Saccharibacteria","Candidatus_Saccharimonas","Candidatus"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus709",282.948369718106,"positive",3,"Firmicutes","Erysipelotrichaceae_UCG-006","Erysipelotrichaceae"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus1090",137.47146058756,"positive",4,"Proteobacteria","Desulfobulbus","Desulfobulbus"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus703",135.46766819514,"positive",5,"Firmicutes","Eggerthia","Eggerthia"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus698",58.6504110437718,"positive",6,"Firmicutes","Bulleidia","Bulleidia"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus582",35.1028596798964,"positive",7,"Firmicutes","Eubacterium","Eubacterium"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus731",18.5793954943565,"positive",8,"Firmicutes","Megasphaera","Megasphaera"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus685",15.8673901731195,"positive",9,"Firmicutes","Ruminococcus_2","Ruminococcus"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus494",13.2016946968084,"positive",10,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus193",12.1349867129659,"positive",11,"Actinobacteria","Atopobium","Atopobium"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus740",3.43349260131138,"positive",12,"Firmicutes","Veillonella","Veillonella"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus35",3.05387591563385,"positive",13,"Actinobacteria","Actinomyces","Actinomyces"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus519",2.41596715322964,"positive",14,"Firmicutes","Lactobacillus","Lactobacillus"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus1161",1.50145743380246,"positive",15,"Proteobacteria","Cardiobacterium","Cardiobacterium"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus993",-37.9813992853216,"negative",1,"Proteobacteria","Lautropia","Lautropia"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus499",-24.2139045960957,"negative",2,"Firmicutes","Abiotrophia","Abiotrophia"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus1234",-16.8158522834203,"negative",3,"Proteobacteria","Mannheimia","Mannheimia"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus1228",-7.33468245669035,"negative",4,"Proteobacteria","Actinobacillus","Actinobacillus"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus253",-4.45469978507862,"negative",5,"Bacteroidetes","Porphyromonas","Porphyromonas"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus256",-3.77634956659835,"negative",6,"Bacteroidetes","Alloprevotella","Alloprevotella"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus1063",-3.58605989834118,"negative",7,"Proteobacteria","Neisseria","Neisseria"
"pheWAS","none","LBXMCHSI","Mean cell hemoglobin (pg)","RSV_genus475",-2.36562749630434,"negative",8,"Firmicutes","Gemella","Gemella"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus600",6170.70286997842,"positive",1,"Firmicutes","Howardella","Howardella"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus1299",2354.69745328781,"positive",2,"Saccharibacteria","Candidatus_Saccharimonas","Candidatus"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus709",877.839305160388,"positive",3,"Firmicutes","Erysipelotrichaceae_UCG-006","Erysipelotrichaceae"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus560",424.468153183518,"positive",4,"Firmicutes","Pseudoramibacter","Pseudoramibacter"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus703",311.686317138567,"positive",5,"Firmicutes","Eggerthia","Eggerthia"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus698",166.938734743071,"positive",6,"Firmicutes","Bulleidia","Bulleidia"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus582",111.695629704757,"positive",7,"Firmicutes","Eubacterium","Eubacterium"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus685",45.6585270354015,"positive",8,"Firmicutes","Ruminococcus_2","Ruminococcus"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus731",44.9474561293598,"positive",9,"Firmicutes","Megasphaera","Megasphaera"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus193",28.5804532666251,"positive",10,"Actinobacteria","Atopobium","Atopobium"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus740",8.71213676256288,"positive",11,"Firmicutes","Veillonella","Veillonella"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus35",7.38681255706874,"positive",12,"Actinobacteria","Actinomyces","Actinomyces"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus1161",4.4621438465264,"positive",13,"Proteobacteria","Cardiobacterium","Cardiobacterium"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus591",-292.56951415704,"negative",1,"Firmicutes","Butyrivibrio_2","Butyrivibrio"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus993",-94.3029104971249,"negative",2,"Proteobacteria","Lautropia","Lautropia"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus1241",-90.3050263668488,"negative",3,"Proteobacteria","Moraxella","Moraxella"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus1234",-44.4241368722303,"negative",4,"Proteobacteria","Mannheimia","Mannheimia"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus1228",-17.3355645994351,"negative",5,"Proteobacteria","Actinobacillus","Actinobacillus"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus1063",-9.45696007907052,"negative",6,"Proteobacteria","Neisseria","Neisseria"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus256",-9.17461599227604,"negative",7,"Bacteroidetes","Alloprevotella","Alloprevotella"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus475",-6.90270689616336,"negative",8,"Firmicutes","Gemella","Gemella"
"pheWAS","none","LBXMCVSI","Mean cell volume (fL)","RSV_genus998",-2.0379327870277,"negative",9,"Proteobacteria","Ralstonia","Ralstonia"
"pheWAS","none","LBXMOPCT","Monocyte percent (%)","RSV_genus604",41.6098024795282,"positive",1,"Firmicutes","Lachnoanaerobaculum","Lachnoanaerobaculum"
"pheWAS","none","LBXMOPCT","Monocyte percent (%)","RSV_genus673",14.3566836437697,"positive",2,"Firmicutes","Ruminococcaceae_UCG-002","Ruminococcaceae"
"pheWAS","none","LBXMOPCT","Monocyte percent (%)","RSV_genus740",2.52064303920265,"positive",3,"Firmicutes","Veillonella","Veillonella"
"pheWAS","none","LBXMOPCT","Monocyte percent (%)","RSV_genus555",-146.864964235729,"negative",1,"Firmicutes","Defluviitaleaceae_UCG-011","Defluviitaleaceae"
"pheWAS","none","LBXMOPCT","Monocyte percent (%)","RSV_genus1309",-55.9338414709956,"negative",2,"Synergistetes","Fretibacterium","Fretibacterium"
"pheWAS","none","LBXMOPCT","Monocyte percent (%)","RSV_genus646",-26.7018332501306,"negative",3,"Firmicutes","Filifactor","Filifactor"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus627",11.7392324654596,"positive",1,"Firmicutes","Oribacterium","Oribacterium"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus716",10.3745130279041,"positive",2,"Firmicutes","Solobacterium","Solobacterium"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus262",1.8092843914888,"positive",3,"Bacteroidetes","Prevotella_6","Prevotella"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus1282",1.24164264014018,"positive",4,"Proteobacteria","Stenotrophomonas","Stenotrophomonas"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus1007",-341.854783483536,"negative",1,"Proteobacteria","Curvibacter","Curvibacter"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus494",-10.4533805092949,"negative",2,"Firmicutes","Staphylococcus","Staphylococcus"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus519",-2.04323884012011,"negative",3,"Firmicutes","Lactobacillus","Lactobacillus"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus51",-1.65514339435743,"negative",4,"Actinobacteria","Scardovia","Scardovia"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus998",-0.820180219701448,"negative",5,"Proteobacteria","Ralstonia","Ralstonia"
"pheWAS","none","LBXMPSI","Mean platelet volume (fL)","RSV_genus1161",-0.749788845090597,"negative",6,"Proteobacteria","Cardiobacterium","Cardiobacterium"
"pheWAS","none","LBXNEPCT","Segmented neutrophils percent (%)","RSV_genus649",634.612317068613,"positive",1,"Firmicutes","Peptoclostridium","Peptoclostridium"
